Email,Username,Password

sample@gmail.com,amazon,?'Ak*p/;QK}W
sample@gmail.com,amazon,8{#Lfw5e<5-x
sample@gmail.com,amazon,%H0Ki3Qg]k*E
sample@gmail.com,amazon,\w!Rop$v5`Js
sample@gmail.com,amazon,p!quteEv?a#r
sample@gmail.com,sa,6y{9<E;re5;`
sample@gmail.com,s,"rA@)D#4v/G""<"
sample@gmail.com,sad,n6:AI\hGEtvn
sample@gmail.com,asd,%n}n^]XyX0$b
sample@gmail.com,as,y=wZWn%%.0`?
sample@gmail.com,asd,'!Ey^9ZE{qR}
sample@gmail.com,qwe,"""0Ui)|Y,E2n!"
sample@gmail.com,da,"rFy-Z74j>5g"""
sample@gmail.com,d,"2oDE2VU{th,}"
sample@gmail.com,a,"$OxH"";Ys99WQ"
sample@gmail.com,w,_f[f<CNudJ$r
sample@gmail.com,e,\=>43aAp[=}|
sample@gmail.com,e,/z=(aT.@yG[?
sample@gmail.com,ad,"L*1<Y;8*[b""T"
sample@gmail.com,bb,X6@kG/}D`J;6
sample@gmail.com,fsd,2V+9`S|88>IY
sample@gmail.com,dsa,6Av_c'f'3$^m
sample@gmail.com,sa,Q)McJYoOIjJR
sample@gmail.com,sad,F{IwtUMB2iWH
sample@gmail.com,d,L7K$?E|E5|1a
sample@gmail.com,r,qfQzSA-Z3;<8
sample@gmail.com,e,%G;>X?e>5qQ?
sample@gmail.com,wq,7M07ZA?Pg36s
sample@gmail.com,wq,dm>Nl>+jOHFw
sample@gmail.com,ret,"""H`Zh7>CxH""_"
sample@gmail.com,s,f5Rkj{lzKQ:h
sample@gmail.com,sadsad,YG*4S[W`robg
sample@gmail.com,amazon,Mk%`W)ZL?40'
sample@gmail.com,amazon,"""^k.M.)[yfVY"
sample@gmail.com,amazon,yh56HYk`B8JI
sample@gmail.com,twitter,Y(5ip*zLgS_m
sample@gmail.com,flipkart,R)%sWHWQZD]6
sample@gmail.com,wq,FC*8JawABuL<
sample@gmail.com,ewr,O{&:1?:>2b&J
sample@gmail.com,swq,2fdUTr]V+w86
sample@gmail.com,wqe,"llV5oB,&Qhrt"
sample@gmail.com,sqe,@u=9+ct/X+z{
sample@gmail.com,amazon,x[Bi@g\I)|'B
sample@gmail.com,twitter,[rw?QE?LZq/d
sample@gmail.com,twitter,p_^T(K<U(+i[
sample@gmail.com,amazon,w\pR(Y+q]W|5
sample@gmail.com,amazon,tiIcusE8_F:S
sample@gmail.com,twitter,yQ@bwx]LFNBS
sample@gmail.com,flipkart,5EjK?WsGzDCF
sample@gmail.com,amazon,a3Bof^mixpbi
